[12:36:44] [User Authenticator #4/INFO]: UUID of player Benedict_AGM is 92dd6768-0113-4c88-871d-042e64be901e
[12:36:44] [Server thread/INFO]: Benedict_AGM[/50.105.175.196:51204] logged in with entity id 22382 at ([smp]-1687.7982690569818, 71.0, 313.1468640146728)
[12:39:32] [Server thread/INFO]: Villager EntityVillager['Farmer'/22679, l='ServerLevel[smp]', x=-1760.70, y=86.00, z=223.39] died, message: 'Farmer was slain by Zombie'
[12:40:18] [Server thread/INFO]: Villager EntityVillager['Villager'/22469, l='ServerLevel[smp]', x=-1766.30, y=86.88, z=220.44] died, message: 'Villager was slain by Zombie'
[12:43:21] [Server thread/INFO]: Villager EntityVillager['Villager'/22759, l='ServerLevel[smp]', x=-1754.90, y=96.00, z=223.45] died, message: 'Villager was slain by Zombie'
[12:43:38] [Server thread/INFO]: Villager EntityVillager['Leatherworker'/22473, l='ServerLevel[smp]', x=-1786.27, y=96.00, z=224.68] died, message: 'Leatherworker was slain by Zombie Villager'
[12:43:54] [Server thread/INFO]: Villager EntityVillager['Villager'/22506, l='ServerLevel[smp]', x=-1776.64, y=96.00, z=243.62] died, message: 'Villager was slain by Zombie Villager'
[12:44:00] [Server thread/INFO]: Villager EntityVillager['Villager'/22479, l='ServerLevel[smp]', x=-1769.98, y=96.00, z=225.51] died, message: 'Villager was slain by Zombie'
[12:44:10] [Server thread/INFO]: Villager EntityVillager['Villager'/22489, l='ServerLevel[smp]', x=-1761.42, y=91.00, z=233.71] died, message: 'Villager was slain by Zombie Villager'
[12:44:12] [Server thread/INFO]: Villager EntityVillager['Mason'/22718, l='ServerLevel[smp]', x=-1770.62, y=96.00, z=238.58] died, message: 'Mason was slain by Zombie Villager'
[12:44:21] [Server thread/INFO]: Villager EntityVillager['Villager'/22717, l='ServerLevel[smp]', x=-1764.43, y=96.00, z=224.64] died, message: 'Villager was slain by Zombie Villager'
[12:44:22] [Server thread/INFO]: Villager EntityVillager['Villager'/22497, l='ServerLevel[smp]', x=-1781.37, y=96.00, z=243.50] died, message: 'Villager was slain by Zombie'
[12:44:31] [Server thread/INFO]: Villager EntityVillager['Villager'/22493, l='ServerLevel[smp]', x=-1757.55, y=96.00, z=235.00] died, message: 'Villager was slain by Zombie Villager'
[12:44:38] [Server thread/INFO]: Villager EntityVillager['Farmer'/22680, l='ServerLevel[smp]', x=-1761.41, y=96.00, z=239.16] died, message: 'Farmer was slain by Zombie Villager'
[12:44:40] [Server thread/INFO]: Villager EntityVillager['Villager'/22498, l='ServerLevel[smp]', x=-1788.58, y=96.00, z=225.68] died, message: 'Villager was slain by Zombie Villager'
[12:44:48] [Server thread/INFO]: Villager EntityVillager['Villager'/22504, l='ServerLevel[smp]', x=-1771.89, y=91.00, z=236.17] died, message: 'Villager was slain by Zombie Villager'
[12:44:58] [Server thread/INFO]: Villager EntityVillager['Farmer'/22715, l='ServerLevel[smp]', x=-1772.37, y=96.00, z=240.44] died, message: 'Farmer was slain by Zombie Villager'
[12:44:58] [Server thread/INFO]: Villager EntityVillager['Villager'/22492, l='ServerLevel[smp]', x=-1768.64, y=95.75, z=236.30] died, message: 'Villager was slain by Zombie Villager'
[12:45:01] [Server thread/INFO]: Villager EntityVillager['Villager'/22484, l='ServerLevel[smp]', x=-1784.52, y=96.00, z=227.02] died, message: 'Villager was slain by Zombie Villager'
[12:45:10] [Server thread/INFO]: Villager EntityVillager['Villager'/22488, l='ServerLevel[smp]', x=-1759.88, y=96.00, z=223.51] died, message: 'Villager was slain by Zombie Villager'
[12:45:15] [Server thread/INFO]: Villager EntityVillager['Villager'/22470, l='ServerLevel[smp]', x=-1787.25, y=96.00, z=226.23] died, message: 'Villager was slain by Zombie Villager'
[12:45:17] [Server thread/INFO]: Villager EntityVillager['Villager'/22495, l='ServerLevel[smp]', x=-1764.94, y=92.00, z=238.40] died, message: 'Villager was slain by Zombie Villager'
[12:45:19] [Server thread/INFO]: Villager EntityVillager['Villager'/22487, l='ServerLevel[smp]', x=-1756.40, y=96.00, z=243.28] died, message: 'Villager was slain by Zombie Villager'
[12:45:36] [Server thread/INFO]: Villager EntityVillager['Villager'/22472, l='ServerLevel[smp]', x=-1781.34, y=96.00, z=223.50] died, message: 'Villager was slain by Zombie Villager'
[12:45:38] [Server thread/INFO]: Villager EntityVillager['Villager'/22476, l='ServerLevel[smp]', x=-1759.27, y=96.00, z=240.54] died, message: 'Villager was slain by Zombie Villager'
[12:45:52] [Server thread/INFO]: Villager EntityVillager['Villager'/22491, l='ServerLevel[smp]', x=-1771.44, y=96.00, z=227.24] died, message: 'Villager was slain by Zombie Villager'
[12:45:54] [Server thread/INFO]: Villager EntityVillager['Villager'/22505, l='ServerLevel[smp]', x=-1754.79, y=96.00, z=235.34] died, message: 'Villager was slain by Zombie'
[12:45:58] [Server thread/INFO]: Villager EntityVillager['Villager'/22463, l='ServerLevel[smp]', x=-1788.70, y=96.00, z=235.67] died, message: 'Villager was slain by Zombie Villager'
[12:46:04] [Server thread/INFO]: Villager EntityVillager['Villager'/22461, l='ServerLevel[smp]', x=-1755.33, y=96.00, z=223.49] died, message: 'Villager was slain by Zombie Villager'
[12:46:05] [Server thread/INFO]: Villager EntityVillager['Villager'/22483, l='ServerLevel[smp]', x=-1756.50, y=96.00, z=233.97] died, message: 'Villager was slain by Zombie Villager'
[12:46:09] [Server thread/INFO]: Villager EntityVillager['Villager'/22464, l='ServerLevel[smp]', x=-1775.14, y=96.00, z=243.24] died, message: 'Villager was slain by Zombie Villager'
[12:46:22] [Server thread/INFO]: Villager EntityVillager['Villager'/22480, l='ServerLevel[smp]', x=-1766.90, y=91.00, z=232.30] died, message: 'Villager was slain by Zombie Villager'
[12:46:24] [Server thread/INFO]: Villager EntityVillager['Villager'/22496, l='ServerLevel[smp]', x=-1788.52, y=96.00, z=227.17] died, message: 'Villager was slain by Zombie Villager'
[12:48:10] [Server thread/INFO]: Villager EntityVillager['Leatherworker'/22457, l='ServerLevel[smp]', x=-1764.51, y=91.00, z=225.85] died, message: 'Leatherworker was slain by Zombie Villager'
[12:51:54] [Server thread/INFO]: Benedict_AGM lost connection: Disconnected
[12:51:54] [Server thread/INFO]: Benedict_AGM left the game
